,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/6/19,1
1,"['CamelPhat', 'Jem Cooke', 'Cristoph']",Breathe,11/16/18,4/6/19,2
2,"['CASSIMM', 'Chus & Ceballos']",Dances with Wolves,2/1/19,4/6/19,3
3,"['Matan Caspi', ""E'sh""]",Eidothea,3/18/19,4/6/19,4
4,"['Aneesh Gera', 'Paul Thomas', 'White-Akre']",Solace,3/1/19,4/6/19,5
5,"['NekliFF', 'Rafael Cerato', 'Kasper Koman']",Marrakesh,2/25/19,4/6/19,6
6,"['Diana Miro', '8Kays', 'Jerome Isma-Ae']",Inside feat. Diana Miro,3/11/19,4/6/19,7
7,['Budakid'],A Molton Arrow,3/25/19,4/6/19,8
8,['Paul Thomas'],Allegro,3/22/19,4/6/19,9
9,"['Avasono', 'Ziger']",Riells,3/11/19,4/6/19,10
10,['BLR'],Méduse,3/22/19,4/6/19,11
11,['Stan Kolev'],Selcouth,3/18/19,4/6/19,12
12,"['Formel', 'Ziger']",Unawatuna,3/25/19,4/6/19,13
13,"['Darin Epsilon', 'Marc DePulse']",Anamorphosis,3/29/19,4/6/19,14
14,"['IKARIUS', 'Pavel Petrov']",Time,3/1/19,4/6/19,15
15,['Space Motion'],Epic,10/29/18,4/6/19,16
16,['Applescal'],Saints,2/22/19,4/6/19,17
17,"['Budakid', 'Zweers']",Estersveld feat. Zweers,3/25/19,4/6/19,18
18,['Stan Kolev'],Inscape,12/24/18,4/6/19,19
19,['Cid Inc.'],Turning Pages,3/25/19,4/6/19,20
20,"['Beckers', 'D-Nox', 'Navar']",Polyacid,2/11/19,4/6/19,21
21,['Cid Inc.'],Via Karelia,3/25/19,4/6/19,22
22,['Stan Kolev'],Crossroads,3/22/19,4/6/19,23
23,['King & Early'],Moving Forward,3/8/19,4/6/19,24
24,"['Luke Mandala', 'Bizio', 'Antrim']",Mother of Dragons,3/22/19,4/6/19,25
25,['Stan Kolev'],Fury,4/1/19,4/6/19,26
26,"['Virtual Self', 'Lane 8']",Ghost Voices,2/12/19,4/6/19,27
27,"['Dabeat', 'Kamilo Sanclemente', 'Kasper Koman']",Implant,2/11/19,4/6/19,28
28,['Avoure'],Aura,11/29/18,4/6/19,29
29,"['Darin Epsilon', 'Marc DePulse']",Penrose,3/29/19,4/6/19,30
30,['Marcus Meinhardt'],Bamboo,6/29/18,4/6/19,31
31,['Ben Bohmer'],After Earth,1/5/18,4/6/19,32
32,"['Prospa', 'Will Easton']",Prayer,2/22/19,4/6/19,33
33,"['Ezequiel Arias', 'Artfaq']",Babel,2/18/19,4/6/19,34
