,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/4/19,1
1,['CamelPhat'  'Jem Cooke'  'Cristoph'],Breathe,11/16/18,4/4/19,2
2,['CASSIMM'  'Chus & Ceballos'],Dances with Wolves,2/1/19,4/4/19,3
3,"['Matan Caspi'  ""E'sh""]",Eidothea,3/18/19,4/4/19,4
4,['Aneesh Gera'  'Paul Thomas'  'White-Akre'],Solace,3/1/19,4/4/19,5
5,['Budakid'],A Molton Arrow,3/25/19,4/4/19,6
6,['NekliFF'  'Rafael Cerato'  'Kasper Koman'],Marrakesh,2/25/19,4/4/19,7
7,['Diana Miro'  '8Kays'  'Jerome Isma-Ae'],Inside feat. Diana Miro,3/11/19,4/4/19,8
8,['Budakid'  'Zweers'],Estersveld feat. Zweers,3/25/19,4/4/19,9
9,['Paul Thomas'],Allegro,3/22/19,4/4/19,10
10,['Avasono'  'Ziger'],Riells,3/11/19,4/4/19,11
11,['Stan Kolev'],Selcouth,3/18/19,4/4/19,12
12,['Cid Inc.'],Via Karelia,3/25/19,4/4/19,13
13,['Space Motion'],Epic,10/29/18,4/4/19,14
14,['Cid Inc.'],Turning Pages,3/25/19,4/4/19,15
15,['BLR'],Méduse,3/22/19,4/4/19,16
16,['Stan Kolev'],Crossroads,3/22/19,4/4/19,17
17,['IKARIUS'  'Pavel Petrov'],Time,3/1/19,4/4/19,18
18,['Beckers'  'D-Nox'  'Navar'],Polyacid,2/11/19,4/4/19,19
19,['Stan Kolev'],Inscape,12/24/18,4/4/19,20
20,['Darin Epsilon'  'Marc DePulse'],Anamorphosis,3/29/19,4/4/19,21
21,['Formel'  'Ziger'],Unawatuna,3/25/19,4/4/19,22
22,['Dabeat'  'Kamilo Sanclemente'  'Kasper Koman'],Implant,2/11/19,4/4/19,23
23,['Avoure'],Aura,11/29/18,4/4/19,24
24,['Luke Mandala'  'Bizio'  'Antrim'],Mother of Dragons,3/22/19,4/4/19,25
25,['Alex Graham'  'Kristian Nairn'],Life Is Too Short,3/22/19,4/4/19,26
26,['King & Early'],Moving Forward,3/8/19,4/4/19,27
27,['Virtual Self'  'Lane 8'],Ghost Voices,2/12/19,4/4/19,28
28,['Stan Kolev'  'D-Nox'  'K.A.L.I.L.'],Selcouth,3/18/19,4/4/19,29
29,['Darin Epsilon'  'Marc DePulse'],Penrose,3/29/19,4/4/19,30
30,['Sebastian Sellares'  'Simply City'],Epiphany in the Woods,3/25/19,4/4/19,31
31,['Sam Heyman'],Betelgeuse,2/28/19,4/4/19,32
32,['Roger Martinez'],Songlines,3/18/19,4/4/19,33
33,['Stan Kolev'],Phases,3/8/19,4/4/19,34
34,['Max Freegrant'  'Slow Fish'],We Got Space,3/8/19,4/4/19,35
35,['Antrim'  'Black 8'],Experiments,2/25/19,4/4/19,36
36,['Marcus Meinhardt'],Bamboo,6/29/18,4/4/19,37
37,['Memory (ARG)'],Quique,3/25/19,4/4/19,38
38,['D-Nox'  'Uone'  'Western'  'Paul Anthonee'],Never,3/11/19,4/4/19,39
39,['Stan Kolev'  'Austin Pettit'],Listen,1/11/19,4/4/19,40
40,['Juan Pablo Torrez'  'Kamilo Sanclemente'],Dhama,3/25/19,4/4/19,41
41,['Ezequiel Arias'  'Artfaq'],Babel,2/18/19,4/4/19,42
42,['Beckers'  'D-Nox'],Polyacid,2/11/19,4/4/19,43
43,['D-Formation'],Closer,3/4/19,4/4/19,44
44,['Applescal'],Saints,2/22/19,4/4/19,45
45,['Sebastien Leger'],Sablier,2/25/19,4/4/19,46
46,['Prospa'  'Will Easton'],Prayer,2/22/19,4/4/19,47
47,['Ben Bohmer'],After Earth,1/5/18,4/4/19,48
48,['Antrim'  'Ezequiel Arias'],Reimagined,3/25/19,4/4/19,49
49,['Diana Miro'  '8Kays'],Inside feat. Diana Miro,3/11/19,4/4/19,50
50,['Gux Jimenez'  'Stan Kolev'],Raices,3/11/19,4/4/19,51
51,['Andre Sobota'],Current,3/8/19,4/4/19,52
52,['Haze-M'  'Juan Elvadin'  'Stan Kolev'],Replika,2/25/19,4/4/19,53
53,['Affkt'  'Damon Jee'],Parafernalia,12/23/18,4/4/19,54
54,['GRAZZE'  'Stan Kolev'],Lost,3/8/19,4/4/19,55
55,['DJ San'  'Stan Kolev'],Put The Kettle On,3/4/19,4/4/19,56
56,['Kasper Koman'],Hi,12/10/18,4/4/19,57
57,['Kymatik'],Bloemen En Flinders,3/4/19,4/4/19,58
58,['Madloch'  'Subnode'  'Navar'],Lion's Mane,3/25/19,4/4/19,59
59,['Steve Parry'],Michelada,3/15/19,4/4/19,60
60,['D-Nox'  'Uone'  'Western'  'Dousk'],Never,3/11/19,4/4/19,61
61,['Kamilo Sanclemente'],From The Sky,3/1/19,4/4/19,62
62,['Artche'],Tell Me,3/22/19,4/4/19,63
63,['Emi Galvan'],Karma,2/4/19,4/4/19,64
64,['Matias Vila'  'Hermanez'  'Eran Aviner'],Ahora,1/14/19,4/4/19,65
65,['Simon Berry'  'Luke Brancaccio'  'Yotto'],I Hear This,12/3/18,4/4/19,66
66,['Gadi Mitrani'],Mirror Room,3/25/19,4/4/19,67
67,['Stan Kolev'  'Petar Dundov'],Selcouth,3/18/19,4/4/19,68
68,['Bluum'],Farpoint,3/15/19,4/4/19,69
69,['The Organism'],Root,3/4/19,4/4/19,70
70,['Gai Barone'],Boston,3/25/19,4/4/19,71
71,['DJ San'],7th Dimension,3/22/19,4/4/19,72
72,['Betoko'],Kordial,3/15/19,4/4/19,73
73,['Eric Lune'  'Paul Angelo'  'Don Argento'],Matter of Fact,3/11/19,4/4/19,74
74,['Solee'],Time,2/11/19,4/4/19,75
75,['Matt Fax'],To The Ground,2/8/19,4/4/19,76
76,['Rue'  'Alastor'  'Jerome Isma-Ae'],Untethered,1/21/19,4/4/19,77
77,"['Matan Caspi'  ""E'sh""]",Yemoja,12/17/18,4/4/19,78
78,['Space Motion'],Unihorn,10/29/18,4/4/19,79
79,['fran&co'  'Stan Kolev'],Symphony From Outer Space,10/1/18,4/4/19,80
80,['Ziger'],After Midnight,7/16/18,4/4/19,81
81,['Stan Kolev'],Fury,4/1/19,4/4/19,82
82,['Underset'  'Klaus Dead'  'Analog Jungs'],Airport,3/1/19,4/4/19,83
83,['David Jackson'],Lullaby,3/29/19,4/4/19,84
84,['Gai Barone'],Omuamua,3/18/19,4/4/19,85
85,['Uone'],Black Wolf,3/15/19,4/4/19,86
86,['Nico Morano'],Epirus,3/4/19,4/4/19,87
87,['Audioglider'  'Aman Anand'  'Priya Sen'],Caging the Sun,2/22/19,4/4/19,88
88,['Zoo Brazil'  'Wolf & Moon'  'Dave Seaman'],Thunderstorm,2/8/19,4/4/19,89
89,['Pretty Pink'],Melting,3/29/19,4/4/19,90
90,['David Jackson'],Curiosa,3/29/19,4/4/19,91
91,['Sebastian Sellares'],Epiphany in the Woods,3/25/19,4/4/19,92
92,['Antrim'],Let It Flow,3/18/19,4/4/19,93
93,['EdOne'],Feelings,4/1/19,4/4/19,94
94,['Simos Tagias'  'Berni Turletti'],Auquinco,3/29/19,4/4/19,95
95,['Th;en'],Shira,3/11/19,4/4/19,96
96,['D-Nox'  'K.A.L.I.L.'  'Stan Kolev'  'Matan Caspi'],The Seed,11/12/18,4/4/19,97
97,['Stan Kolev'],Nu Moon,8/6/18,4/4/19,98
98,['Touchtalk'  'Tolkien 32'  'Touchtalk'],Got To Go,3/25/19,4/4/19,99
99,['Juan Deminicis'],Mantra,3/15/19,4/4/19,100
