,artists,track_title,release,date_pulled,chart_rank
43,['D-Nox'  'Uone'  'Western'  'Dousk'],Never,3/11/19,4/2/19,44
44,['Ben Bohmer'],After Earth,1/5/18,4/2/19,45
45,['DJ San'  'Stan Kolev'],Put The Kettle On,3/4/19,4/2/19,46
46,['Sam Heyman'],Betelgeuse,2/28/19,4/2/19,47
47,['Artche'],Tell Me,3/22/19,4/2/19,48
48,['Andre Sobota'],Current,3/8/19,4/2/19,49
49,['Kymatik'],Bloemen En Flinders,3/4/19,4/2/19,50
50,['Antrim'  'Black 8'],Experiments,2/25/19,4/2/19,51
51,['GRAZZE'  'Stan Kolev'],Lost,3/8/19,4/2/19,52
52,['Marcus Meinhardt'],Bamboo,6/29/18,4/2/19,53
53,['Darin Epsilon'  'Marc DePulse'],Penrose,3/29/19,4/2/19,54
54,['Kamilo Sanclemente'],From The Sky,3/1/19,4/2/19,55
55,['Gux Jimenez'  'Stan Kolev'],Raices,3/11/19,4/2/19,56
56,['Sebastien Leger'],Sablier,2/25/19,4/2/19,57
57,['Kasper Koman'],Hi,12/10/18,4/2/19,58
58,['Haze-M'  'Juan Elvadin'  'Stan Kolev'],Replika,2/25/19,4/2/19,59
59,['Affkt'  'Damon Jee'],Parafernalia,12/23/18,4/2/19,60
60,['Madloch'  'Subnode'  'Navar'],Lion's Mane,3/25/19,4/2/19,61
61,['Stan Kolev'  'Petar Dundov'],Selcouth,3/18/19,4/2/19,62
62,['Emi Galvan'],Karma,2/4/19,4/2/19,63
63,['Matias Vila'  'Hermanez'  'Eran Aviner'],Ahora,1/14/19,4/2/19,64
64,['Gadi Mitrani'],Mirror Room,3/25/19,4/2/19,65
65,['Betoko'],Kordial,3/15/19,4/2/19,66
66,['Bluum'],Farpoint,3/15/19,4/2/19,67
67,['Prospa'  'Will Easton'],Prayer,2/22/19,4/2/19,68
68,['The Organism'],Root,3/4/19,4/2/19,69
69,['Simon Berry'  'Luke Brancaccio'  'Yotto'],I Hear This,12/3/18,4/2/19,70
70,['Gai Barone'],Omuamua,3/18/19,4/2/19,71
71,['Zoo Brazil'  'Wolf & Moon'  'Dave Seaman'],Thunderstorm,2/8/19,4/2/19,72
72,['Stan Kolev'],Nu Moon,8/6/18,4/2/19,73
73,['Ziger'],After Midnight,7/16/18,4/2/19,74
74,['Underset'  'Klaus Dead'  'Analog Jungs'],Airport,3/1/19,4/2/19,75
75,['Audioglider'  'Aman Anand'  'Priya Sen'],Caging the Sun,2/22/19,4/2/19,76
76,['Solee'],Time,2/11/19,4/2/19,77
77,['Space Motion'],Unihorn,10/29/18,4/2/19,78
78,['DJ San'],7th Dimension,3/22/19,4/2/19,79
79,['Dabeat'  'Kamilo Sanclemente'  'Enamour'],Your Smile Is Priceless,2/11/19,4/2/19,80
80,['Matt Fax'],To The Ground,2/8/19,4/2/19,81
81,['Gai Barone'],Boston,3/25/19,4/2/19,82
82,['Eric Lune'  'Paul Angelo'  'Don Argento'],Matter of Fact,3/11/19,4/2/19,83
83,['Judah (Official)'],In And Out of My Life,3/8/19,4/2/19,84
84,['Nico Morano'],Epirus,3/4/19,4/2/19,85
85,['Essay'],Archangel,1/25/19,4/2/19,86
86,"['Matan Caspi'  ""E'sh""]",Yemoja,12/17/18,4/2/19,87
87,['Starkato'],Astral,3/25/19,4/2/19,88
88,['Juan Deminicis'],Mantra,3/15/19,4/2/19,89
89,['Paul Flynn'],Sleep Deprivation,3/15/19,4/2/19,90
90,['Th;en'],Shira,3/11/19,4/2/19,91
91,['Betoko'  'Stan Kolev'  'Matan Caspi'],Forest Of Love,2/11/19,4/2/19,92
92,['Emi Galvan'],Alfa Zeta,2/4/19,4/2/19,93
93,['Sebastian Sellares'],Epiphany in the Woods,3/25/19,4/2/19,94
94,['Oliver & Tom'],Remote Visions,3/22/19,4/2/19,95
95,['Antrim'],Let It Flow,3/18/19,4/2/19,96
96,['Uone'],Black Wolf,3/15/19,4/2/19,97
97,['Blue Cell'  'Soulkeys'],Omegain,3/4/19,4/2/19,98
98,['Stan Kolev'],Within,2/18/19,4/2/19,99
99,['Rue'  'Alastor'  'Jerome Isma-Ae'],Untethered,1/21/19,4/2/19,100
