,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/2/19,1
1,['CamelPhat'  'Jem Cooke'  'Cristoph'],Breathe,11/16/18,4/2/19,2
2,['CASSIMM'  'Chus & Ceballos'],Dances with Wolves,2/1/19,4/2/19,3
3,"['Matan Caspi'  ""E'sh""]",Eidothea,3/18/19,4/2/19,4
4,['Budakid'],A Molton Arrow,3/25/19,4/2/19,5
5,['Aneesh Gera'  'Paul Thomas'  'White-Akre'],Solace,3/1/19,4/2/19,6
6,['Diana Miro'  '8Kays'  'Jerome Isma-Ae'],Inside feat. Diana Miro,3/11/19,4/2/19,7
7,['NekliFF'  'Rafael Cerato'  'Kasper Koman'],Marrakesh,2/25/19,4/2/19,8
8,['Budakid'  'Zweers'],Estersveld feat. Zweers,3/25/19,4/2/19,9
9,['Paul Thomas'],Allegro,3/22/19,4/2/19,10
10,['Avasono'  'Ziger'],Riells,3/11/19,4/2/19,11
11,['Cid Inc.'],Turning Pages,3/25/19,4/2/19,12
12,['Cid Inc.'],Via Karelia,3/25/19,4/2/19,13
13,['Stan Kolev'],Selcouth,3/18/19,4/2/19,14
14,['Stan Kolev'],Crossroads,3/22/19,4/2/19,15
15,['Space Motion'],Epic,10/29/18,4/2/19,16
16,['BLR'],Méduse,3/22/19,4/2/19,17
17,['IKARIUS'  'Pavel Petrov'],Time,3/1/19,4/2/19,18
18,['Avoure'],Aura,11/29/18,4/2/19,19
19,['Beckers'  'D-Nox'  'Navar'],Polyacid,2/11/19,4/2/19,20
20,['Stan Kolev'],Inscape,12/24/18,4/2/19,21
21,['Stan Kolev'  'D-Nox'  'K.A.L.I.L.'],Selcouth,3/18/19,4/2/19,22
22,['Alex Graham'  'Kristian Nairn'],Life Is Too Short,3/22/19,4/2/19,23
23,['Stan Kolev'],Phases,3/8/19,4/2/19,24
24,['Dabeat'  'Kamilo Sanclemente'  'Kasper Koman'],Implant,2/11/19,4/2/19,25
25,['Formel'  'Ziger'],Unawatuna,3/25/19,4/2/19,26
26,['Virtual Self'  'Lane 8'],Ghost Voices,2/12/19,4/2/19,27
27,['Darin Epsilon'  'Marc DePulse'],Anamorphosis,3/29/19,4/2/19,28
28,['D-Nox'  'Uone'  'Western'  'Paul Anthonee'],Never,3/11/19,4/2/19,29
29,['Beckers'  'D-Nox'],Polyacid,2/11/19,4/2/19,30
30,['Memory (ARG)'],Quique,3/25/19,4/2/19,31
31,['Roger Martinez'],Songlines,3/18/19,4/2/19,32
32,['Stan Kolev'  'Austin Pettit'],Listen,1/11/19,4/2/19,33
33,['Sebastian Sellares'  'Simply City'],Epiphany in the Woods,3/25/19,4/2/19,34
34,['Diana Miro'  '8Kays'],Inside feat. Diana Miro,3/11/19,4/2/19,35
35,['Juan Pablo Torrez'  'Kamilo Sanclemente'],Dhama,3/25/19,4/2/19,36
36,['Luke Mandala'  'Bizio'  'Antrim'],Mother of Dragons,3/22/19,4/2/19,37
37,['Max Freegrant'  'Slow Fish'],We Got Space,3/8/19,4/2/19,38
38,['Antrim'  'Ezequiel Arias'],Reimagined,3/25/19,4/2/19,39
39,['King & Early'],Moving Forward,3/8/19,4/2/19,40
40,['D-Formation'],Closer,3/4/19,4/2/19,41
41,['Ezequiel Arias'  'Artfaq'],Babel,2/18/19,4/2/19,42
42,['Steve Parry'],Michelada,3/15/19,4/2/19,43
