,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/5/19,1
1,"['CamelPhat', 'Jem Cooke', 'Cristoph']",Breathe,11/16/18,4/5/19,2
2,"['CASSIMM', 'Chus & Ceballos']",Dances with Wolves,2/1/19,4/5/19,3
3,"['Matan Caspi', ""E'sh""]",Eidothea,3/18/19,4/5/19,4
4,"['Aneesh Gera', 'Paul Thomas', 'White-Akre']",Solace,3/1/19,4/5/19,5
5,"['NekliFF', 'Rafael Cerato', 'Kasper Koman']",Marrakesh,2/25/19,4/5/19,6
6,['Budakid'],A Molton Arrow,3/25/19,4/5/19,7
7,"['Diana Miro', '8Kays', 'Jerome Isma-Ae']",Inside feat. Diana Miro,3/11/19,4/5/19,8
8,"['Avasono', 'Ziger']",Riells,3/11/19,4/5/19,9
9,['Paul Thomas'],Allegro,3/22/19,4/5/19,10
10,['Stan Kolev'],Selcouth,3/18/19,4/5/19,11
11,"['Budakid', 'Zweers']",Estersveld feat. Zweers,3/25/19,4/5/19,12
12,['BLR'],Méduse,3/22/19,4/5/19,13
13,['Space Motion'],Epic,10/29/18,4/5/19,14
14,['Cid Inc.'],Via Karelia,3/25/19,4/5/19,15
15,['Cid Inc.'],Turning Pages,3/25/19,4/5/19,16
16,"['IKARIUS', 'Pavel Petrov']",Time,3/1/19,4/5/19,17
17,['Stan Kolev'],Crossroads,3/22/19,4/5/19,18
18,"['Darin Epsilon', 'Marc DePulse']",Anamorphosis,3/29/19,4/5/19,19
19,"['Formel', 'Ziger']",Unawatuna,3/25/19,4/5/19,20
20,['Stan Kolev'],Inscape,12/24/18,4/5/19,21
21,"['Beckers', 'D-Nox', 'Navar']",Polyacid,2/11/19,4/5/19,22
22,"['Dabeat', 'Kamilo Sanclemente', 'Kasper Koman']",Implant,2/11/19,4/5/19,23
23,"['Alex Graham', 'Kristian Nairn']",Life Is Too Short,3/22/19,4/5/19,24
24,"['Darin Epsilon', 'Marc DePulse']",Penrose,3/29/19,4/5/19,25
25,"['Virtual Self', 'Lane 8']",Ghost Voices,2/12/19,4/5/19,26
26,"['Luke Mandala', 'Bizio', 'Antrim']",Mother of Dragons,3/22/19,4/5/19,27
27,['King & Early'],Moving Forward,3/8/19,4/5/19,28
28,['Avoure'],Aura,11/29/18,4/5/19,29
29,['Applescal'],Saints,2/22/19,4/5/19,30
30,"['Max Freegrant', 'Slow Fish']",We Got Space,3/8/19,4/5/19,31
31,"['Sebastian Sellares', 'Simply City']",Epiphany in the Woods,3/25/19,4/5/19,32
32,"['Beckers', 'D-Nox']",Polyacid,2/11/19,4/5/19,33
33,"['D-Nox', 'Uone', 'Western', 'Paul Anthonee']",Never,3/11/19,4/5/19,34
34,['Sam Heyman'],Betelgeuse,2/28/19,4/5/19,35
35,"['Prospa', 'Will Easton']",Prayer,2/22/19,4/5/19,36
36,"['Ezequiel Arias', 'Artfaq']",Babel,2/18/19,4/5/19,37
37,"['Stan Kolev', 'D-Nox', 'K.A.L.I.L.']",Selcouth,3/18/19,4/5/19,38
38,['Stan Kolev'],Phases,3/8/19,4/5/19,39
39,['Marcus Meinhardt'],Bamboo,6/29/18,4/5/19,40
40,"['Juan Pablo Torrez', 'Kamilo Sanclemente']",Dhama,3/25/19,4/5/19,41
41,"['Antrim', 'Black 8']",Experiments,2/25/19,4/5/19,42
42,"['Stan Kolev', 'Austin Pettit']",Listen,1/11/19,4/5/19,43
43,['Ben Bohmer'],After Earth,1/5/18,4/5/19,44
44,['Memory (ARG)'],Quique,3/25/19,4/5/19,45
45,['Roger Martinez'],Songlines,3/18/19,4/5/19,46
46,"['Gux Jimenez', 'Stan Kolev']",Raices,3/11/19,4/5/19,47
47,['D-Formation'],Closer,3/4/19,4/5/19,48
48,['Stan Kolev'],Fury,4/1/19,4/5/19,49
49,"['Diana Miro', '8Kays']",Inside feat. Diana Miro,3/11/19,4/5/19,50
50,"['GRAZZE', 'Stan Kolev']",Lost,3/8/19,4/5/19,51
51,"['DJ San', 'Stan Kolev']",Put The Kettle On,3/4/19,4/5/19,52
52,['Sebastien Leger'],Sablier,2/25/19,4/5/19,53
53,"['Haze-M', 'Juan Elvadin', 'Stan Kolev']",Replika,2/25/19,4/5/19,54
54,"['Antrim', 'Ezequiel Arias']",Reimagined,3/25/19,4/5/19,55
55,"['D-Nox', 'Uone', 'Western', 'Dousk']",Never,3/11/19,4/5/19,56
56,"['Matias Vila', 'Hermanez', 'Eran Aviner']",Ahora,1/14/19,4/5/19,57
57,"['Affkt', 'Damon Jee']",Parafernalia,12/23/18,4/5/19,58
58,['Kasper Koman'],Hi,12/10/18,4/5/19,59
59,['Space Motion'],Unihorn,10/29/18,4/5/19,60
60,['Kymatik'],Bloemen En Flinders,3/4/19,4/5/19,61
61,['Kamilo Sanclemente'],From The Sky,3/1/19,4/5/19,62
62,['Matt Fax'],To The Ground,2/8/19,4/5/19,63
63,"['fran&co', 'Stan Kolev']",Symphony From Outer Space,10/1/18,4/5/19,64
64,['Ziger'],After Midnight,7/16/18,4/5/19,65
65,['Pretty Pink'],Melting,3/29/19,4/5/19,66
66,['Artche'],Tell Me,3/22/19,4/5/19,67
67,['Steve Parry'],Michelada,3/15/19,4/5/19,68
68,['Gai Barone'],Boston,3/25/19,4/5/19,69
69,['Andre Sobota'],Current,3/8/19,4/5/19,70
70,"['Underset', 'Klaus Dead', 'Analog Jungs']",Airport,3/1/19,4/5/19,71
71,['EdOne'],Feelings,4/1/19,4/5/19,72
72,['Habischman'],Teleport,3/29/19,4/5/19,73
73,['David Jackson'],Lullaby,3/29/19,4/5/19,74
74,['DJ San'],7th Dimension,3/22/19,4/5/19,75
75,"['Eric Lune', 'Paul Angelo', 'Don Argento']",Matter of Fact,3/11/19,4/5/19,76
76,['Emi Galvan'],Karma,2/4/19,4/5/19,77
77,"['Rue', 'Alastor', 'Jerome Isma-Ae']",Untethered,1/21/19,4/5/19,78
78,['Stan Kolev'],Nu Moon,8/6/18,4/5/19,79
79,"['Motel Sazani', 'Monastetiq']",E Ke Keq Aty,4/1/19,4/5/19,80
80,"['Simos Tagias', 'Berni Turletti']",Auquinco,3/29/19,4/5/19,81
81,['David Jackson'],Curiosa,3/29/19,4/5/19,82
82,['The Organism'],Root,3/4/19,4/5/19,83
83,"['Matan Caspi', ""E'sh""]",Yemoja,12/17/18,4/5/19,84
84,"['Simon Berry', 'Luke Brancaccio', 'Yotto']",I Hear This,12/3/18,4/5/19,85
85,['Remcord'],Green Memories,4/1/19,4/5/19,86
86,"['Remcord', 'Donamaria']",Follow The Light,4/1/19,4/5/19,87
87,"['Stan Kolev', 'Petar Dundov']",Selcouth,3/18/19,4/5/19,88
88,['Betoko'],Kordial,3/15/19,4/5/19,89
89,['Bluum'],Farpoint,3/15/19,4/5/19,90
