,artists,track_title,release,date_pulled,chart_rank
90,"['Audioglider', 'Aman Anand', 'Priya Sen']",Caging the Sun,2/22/19,4/5/19,91
91,"['Touchtalk', 'Tolkien 32', 'Touchtalk']",Got To Go,3/25/19,4/5/19,92
92,['Sebastian Sellares'],Epiphany in the Woods,3/25/19,4/5/19,93
93,['Gadi Mitrani'],Mirror Room,3/25/19,4/5/19,94
94,"['Madloch', 'Subnode', 'Navar']",Lion's Mane,3/25/19,4/5/19,95
95,['Gai Barone'],Omuamua,3/18/19,4/5/19,96
96,['Th;en'],Shira,3/11/19,4/5/19,97
97,['Solee'],Time,2/11/19,4/5/19,98
98,"['Zoo Brazil', 'Wolf & Moon', 'Dave Seaman']",Thunderstorm,2/8/19,4/5/19,99
99,"['D-Nox', 'K.A.L.I.L.', 'Stan Kolev', 'Matan Caspi']",The Seed,11/12/18,4/5/19,100
