,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/9/19,1
1,"['CamelPhat', 'Jem Cooke', 'Cristoph']",Breathe,11/16/18,4/9/19,2
2,"['CASSIMM', 'Chus & Ceballos']",Dances with Wolves,2/1/19,4/9/19,3
3,"['Aneesh Gera', 'Paul Thomas', 'White-Akre']",Solace,3/1/19,4/9/19,4
4,"['Matan Caspi', ""E'sh""]",Eidothea,3/18/19,4/9/19,5
5,['Applescal'],Saints,2/22/19,4/9/19,6
6,['BLR'],Méduse,3/22/19,4/9/19,7
7,"['Diana Miro', '8Kays', 'Jerome Isma-Ae']",Inside feat. Diana Miro,3/11/19,4/9/19,8
8,"['NekliFF', 'Rafael Cerato', 'Kasper Koman']",Marrakesh,2/25/19,4/9/19,9
9,"['Avasono', 'Ziger']",Riells,3/11/19,4/9/19,10
10,['Stan Kolev'],Fury,4/1/19,4/9/19,11
11,['Paul Thomas'],Allegro,3/22/19,4/9/19,12
12,['Budakid'],A Molton Arrow,3/25/19,4/9/19,13
13,['Stan Kolev'],Inscape,12/24/18,4/9/19,14
14,"['Formel', 'Ziger']",Unawatuna,3/25/19,4/9/19,15
15,['Stan Kolev'],Selcouth,3/18/19,4/9/19,16
16,['Space Motion'],Epic,10/29/18,4/9/19,17
17,"['IKARIUS', 'Pavel Petrov']",Time,3/1/19,4/9/19,18
18,"['Budakid', 'Zweers']",Estersveld feat. Zweers,3/25/19,4/9/19,19
19,['Cid Inc.'],Turning Pages,3/25/19,4/9/19,20
20,"['Motel Sazani', 'Monastetiq']",E Ke Keq Aty,4/1/19,4/9/19,21
21,"['Darin Epsilon', 'Marc DePulse']",Anamorphosis,3/29/19,4/9/19,22
22,['Cid Inc.'],Via Karelia,3/25/19,4/9/19,23
23,['Avoure'],Aura,11/29/18,4/9/19,24
24,['Stan Kolev'],Crossroads,3/22/19,4/9/19,25
25,"['Beckers', 'D-Nox', 'Navar']",Polyacid,2/11/19,4/9/19,26
26,['Stas Drive'],Getaria,4/1/19,4/9/19,27
27,"['Luke Mandala', 'Bizio', 'Antrim']",Mother of Dragons,3/22/19,4/9/19,28
28,"['Sebastian Sellares', 'Simply City']",Epiphany in the Woods,3/25/19,4/9/19,29
29,['King & Early'],Moving Forward,3/8/19,4/9/19,30
30,"['Prospa', 'Will Easton']",Prayer,2/22/19,4/9/19,31
31,"['Virtual Self', 'Lane 8']",Ghost Voices,2/12/19,4/9/19,32
32,['Marcus Meinhardt'],Bamboo,6/29/18,4/9/19,33
33,"[""Rafa'EL"", 'Black 8']",Revival,4/1/19,4/9/19,34
34,"['Kamilo Sanclemente', 'Andre Moret', 'Arnas D']",Acacias,4/1/19,4/9/19,35
35,"['Ezequiel Arias', 'Artfaq']",Babel,2/18/19,4/9/19,36
36,"['Remcord', 'Donamaria']",Follow The Light,4/1/19,4/9/19,37
37,"['Alex Graham', 'Kristian Nairn']",Life Is Too Short,3/22/19,4/9/19,38
38,"['Antrim', 'Black 8']",Experiments,2/25/19,4/9/19,39
39,"['Dabeat', 'Kamilo Sanclemente', 'Kasper Koman']",Implant,2/11/19,4/9/19,40
40,['Fuenka'],Kosmic,4/5/19,4/9/19,41
41,"['Alexey Romeo', 'Michon']",First Day on Earth,3/29/19,4/9/19,42
42,['Roger Martinez'],Songlines,3/18/19,4/9/19,43
43,"['Gux Jimenez', 'Stan Kolev']",Raices,3/11/19,4/9/19,44
44,['Sam Heyman'],Betelgeuse,2/28/19,4/9/19,45
45,"['Stan Kolev', 'Austin Pettit']",Listen,1/11/19,4/9/19,46
46,"['Simos Tagias', 'Berni Turletti']",Auquinco,3/29/19,4/9/19,47
47,['Stan Kolev'],Phases,3/8/19,4/9/19,48
48,"['Matan Caspi', ""E'sh""]",Yemoja,12/17/18,4/9/19,49
49,['STIGRA'],Journey,3/30/19,4/9/19,50
50,['Habischman'],Teleport,3/29/19,4/9/19,51
51,"['Darin Epsilon', 'Marc DePulse']",Penrose,3/29/19,4/9/19,52
52,"['Eric Lune', 'Paul Angelo', 'Don Argento']",Matter of Fact,3/11/19,4/9/19,53
53,['Matt Fax'],To The Ground,2/8/19,4/9/19,54
54,"['fran&co', 'Stan Kolev']",Symphony From Outer Space,10/1/18,4/9/19,55
55,['Danny Darko'],Your Arms,9/15/18,4/9/19,56
56,['Ben Bohmer'],After Earth,1/5/18,4/9/19,57
57,['Stan Kolev'],Inscape,4/1/19,4/9/19,58
58,['Stan Kolev'],Ananda,4/1/19,4/9/19,59
59,"['D-Nox', 'Uone', 'Western', 'Paul Anthonee']",Never,3/11/19,4/9/19,60
60,"['Affkt', 'Damon Jee']",Parafernalia,12/23/18,4/9/19,61
61,['AfterU'],Wabi Sabi,4/4/19,4/9/19,62
62,['Memory (ARG)'],Quique,3/25/19,4/9/19,63
63,"[""Rafa'EL"", 'Kymatik']",First Thought,4/1/19,4/9/19,64
64,['David Jackson'],Curiosa,3/29/19,4/9/19,65
65,"['Max Freegrant', 'Slow Fish']",We Got Space,3/8/19,4/9/19,66
66,"['D-Nox', 'K.A.L.I.L.', 'Stan Kolev', 'Matan Caspi']",The Seed,11/12/18,4/9/19,67
67,['Space Motion'],Unihorn,10/29/18,4/9/19,68
68,['Danito & Athina'],Listen,4/4/19,4/9/19,69
69,"['Gabriel Batz', 'Subandrio', 'Nishan Lee']",Aquil,4/1/19,4/9/19,70
70,"['Kamilo Sanclemente', 'Andre Moret']",Acacias,4/1/19,4/9/19,71
71,['EdOne'],Feelings,4/1/19,4/9/19,72
72,['Pretty Pink'],Melting,3/29/19,4/9/19,73
73,['Gai Barone'],Boston,3/25/19,4/9/19,74
74,"['Haze-M', 'Juan Elvadin', 'Stan Kolev']",Replika,2/25/19,4/9/19,75
75,"['Zac', 'Andre Gazolla']",Ritual,4/4/19,4/9/19,76
76,['Hacobb'],Foggy,4/1/19,4/9/19,77
77,"['Juan Pablo Torrez', 'Kamilo Sanclemente']",Dhama,3/25/19,4/9/19,78
78,"['Stan Kolev', 'D-Nox', 'K.A.L.I.L.']",Selcouth,3/18/19,4/9/19,79
79,['Sebastien Leger'],Sablier,2/25/19,4/9/19,80
80,['Kasper Koman'],Hi,12/10/18,4/9/19,81
81,"['Simon Berry', 'Luke Brancaccio', 'Yotto']",I Hear This,12/3/18,4/9/19,82
82,['Stan Kolev'],Nu Moon,8/6/18,4/9/19,83
83,"['Soul Brucke', 'Starkato']",I Know Nothing,4/1/19,4/9/19,84
84,['Remcord'],Green Memories,4/1/19,4/9/19,85
85,"['Rue', 'Alastor', 'Jerome Isma-Ae']",Untethered,1/21/19,4/9/19,86
86,"['Matias Vila', 'Hermanez', 'Eran Aviner']",Ahora,1/14/19,4/9/19,87
87,['Dosem'],Meeting Point,4/5/19,4/9/19,88
88,"['D-Nox', 'K.A.L.I.L.']",Black Table,4/4/19,4/9/19,89
89,"['Gabriel Carminatti', 'Willscape']",Urban Legion,4/1/19,4/9/19,90
90,"['Motel Sazani', 'Framewerk']",E Ke Keq Aty,4/1/19,4/9/19,91
91,"['D-Nox', 'Uone', 'Western', 'Dousk']",Never,3/11/19,4/9/19,92
92,"['Underset', 'Klaus Dead', 'Analog Jungs']",Airport,3/1/19,4/9/19,93
93,"['Beckers', 'D-Nox']",Polyacid,2/11/19,4/9/19,94
94,['Stan Kolev'],Ananda,11/5/18,4/9/19,95
95,"['Paul Woolford', 'Kim English', 'CamelPhat']",Hang Up Your Hang Ups (The Only One) [feat. Kim English],8/24/18,4/9/19,96
96,['Eric Prydz'],Pjanoo,8/29/08,4/9/19,97
97,"['Nicolas Ruiz', 'Paul Deep (AR)']",Samara,4/4/19,4/9/19,98
98,['Stas Drive'],Forgiveness,4/1/19,4/9/19,99
99,"['Kamilo Sanclemente', 'Andre Moret']",Nino,4/1/19,4/9/19,100
