,artists,track_title,release,date_pulled,chart_rank
37,"['Sebastian Sellares', 'Simply City']",Epiphany in the Woods,3/25/19,4/7/19,38
38,['Roger Martinez'],Songlines,3/18/19,4/7/19,39
39,"['Antrim', 'Black 8']",Experiments,2/25/19,4/7/19,40
40,"['Remcord', 'Donamaria']",Follow The Light,4/1/19,4/7/19,41
41,"['Alex Graham', 'Kristian Nairn']",Life Is Too Short,3/22/19,4/7/19,42
42,['Stan Kolev'],Phases,3/8/19,4/7/19,43
43,['Habischman'],Teleport,3/29/19,4/7/19,44
44,"['Gux Jimenez', 'Stan Kolev']",Raices,3/11/19,4/7/19,45
45,['Sam Heyman'],Betelgeuse,2/28/19,4/7/19,46
46,['Remcord'],Green Memories,4/1/19,4/7/19,47
47,"['Kamilo Sanclemente', 'Andre Moret', 'Arnas D']",Acacias,4/1/19,4/7/19,48
48,['EdOne'],Feelings,4/1/19,4/7/19,49
49,"['Max Freegrant', 'Slow Fish']",We Got Space,3/8/19,4/7/19,50
50,"['Stan Kolev', 'Austin Pettit']",Listen,1/11/19,4/7/19,51
51,['Ben Bohmer'],After Earth,1/5/18,4/7/19,52
52,['Kasper Koman'],Hi,12/10/18,4/7/19,53
53,['Stan Kolev'],Inscape,4/1/19,4/7/19,54
54,['Stan Kolev'],Ananda,4/1/19,4/7/19,55
55,"['Alexey Romeo', 'Michon']",First Day on Earth,3/29/19,4/7/19,56
56,"['Eric Lune', 'Paul Angelo', 'Don Argento']",Matter of Fact,3/11/19,4/7/19,57
57,['Sebastien Leger'],Sablier,2/25/19,4/7/19,58
58,"['Beckers', 'D-Nox']",Polyacid,2/11/19,4/7/19,59
59,['Matt Fax'],To The Ground,2/8/19,4/7/19,60
60,"[""Rafa'EL"", 'Kymatik']",First Thought,4/1/19,4/7/19,61
61,"['Kamilo Sanclemente', 'Andre Moret']",Acacias,4/1/19,4/7/19,62
62,['Space Motion'],Unihorn,10/29/18,4/7/19,63
63,['Pretty Pink'],Melting,3/29/19,4/7/19,64
64,"['Simos Tagias', 'Berni Turletti']",Auquinco,3/29/19,4/7/19,65
65,"['Haze-M', 'Juan Elvadin', 'Stan Kolev']",Replika,2/25/19,4/7/19,66
66,"['Affkt', 'Damon Jee']",Parafernalia,12/23/18,4/7/19,67
67,"['Matan Caspi', ""E'sh""]",Yemoja,12/17/18,4/7/19,68
68,"['Gabriel Batz', 'Subandrio', 'Nishan Lee']",Aquil,4/1/19,4/7/19,69
69,['Stas Drive'],Forgiveness,4/1/19,4/7/19,70
70,['Memory (ARG)'],Quique,3/25/19,4/7/19,71
71,['Gai Barone'],Boston,3/25/19,4/7/19,72
72,['D-Formation'],Closer,3/4/19,4/7/19,73
73,"['Matias Vila', 'Hermanez', 'Eran Aviner']",Ahora,1/14/19,4/7/19,74
74,"['Soul Brucke', 'Starkato']",I Know Nothing,4/1/19,4/7/19,75
75,['DJ San'],7th Dimension,3/22/19,4/7/19,76
76,"['Stan Kolev', 'D-Nox', 'K.A.L.I.L.']",Selcouth,3/18/19,4/7/19,77
77,"['D-Nox', 'Uone', 'Western', 'Dousk']",Never,3/11/19,4/7/19,78
78,['Stan Kolev'],Nu Moon,8/6/18,4/7/19,79
79,['Fuenka'],Kosmic,4/5/19,4/7/19,80
80,['David Jackson'],Curiosa,3/29/19,4/7/19,81
81,"['Juan Pablo Torrez', 'Kamilo Sanclemente']",Dhama,3/25/19,4/7/19,82
82,"['Simon Berry', 'Luke Brancaccio', 'Yotto']",I Hear This,12/3/18,4/7/19,83
83,"['fran&co', 'Stan Kolev']",Symphony From Outer Space,10/1/18,4/7/19,84
84,['White-Akre'],The Crux,4/1/19,4/7/19,85
85,"['Motel Sazani', 'Framewerk']",E Ke Keq Aty,4/1/19,4/7/19,86
86,"['GRAZZE', 'Stan Kolev']",Lost,3/8/19,4/7/19,87
87,"['Rue', 'Alastor', 'Jerome Isma-Ae']",Untethered,1/21/19,4/7/19,88
88,"['D-Nox', 'K.A.L.I.L.', 'Stan Kolev', 'Matan Caspi']",The Seed,11/12/18,4/7/19,89
89,"['Gabriel Carminatti', 'Willscape']",Urban Legion,4/1/19,4/7/19,90
90,['Steve Parry'],Michelada,3/15/19,4/7/19,91
91,"['DJ San', 'Stan Kolev']",Put The Kettle On,3/4/19,4/7/19,92
92,"['Audioglider', 'Aman Anand', 'Priya Sen']",Caging the Sun,2/22/19,4/7/19,93
93,['Kasper Koman'],First Move,12/10/18,4/7/19,94
94,['Ziger'],After Midnight,7/16/18,4/7/19,95
95,"['Michael Hooker', 'M.E.E.O', 'Gai Barone', 'Luke Brancaccio']",Octagon,4/1/19,4/7/19,96
96,['David Jackson'],Lullaby,3/29/19,4/7/19,97
97,['Sebastian Sellares'],Epiphany in the Woods,3/25/19,4/7/19,98
98,"['Stan Kolev', 'Petar Dundov']",Selcouth,3/18/19,4/7/19,99
99,['Khen'],Closing Doors,12/14/18,4/7/19,100
